hHostNameFinal,mean.pop,median.pop,sd.pop,max.pop,min.pop
Atilax_paludinosus,33.62935817,8.399841309,208.0991115,67776.64063,0
Axis_axis,290.5680232,162.4880524,673.7913783,67977.91406,0
Babyrousa_babyrussa,14.00848807,7.712133884,23.60148161,440.8753662,0
Baiomys_taylori,48.04294972,2.470968962,355.5046844,25204.64453,0
Balaenoptera_acutorostrata,NA,NA,NA,NA,NA
Balaenoptera_borealis,NA,NA,NA,NA,NA
Balaenoptera_physalus,NA,NA,NA,NA,NA
Bandicota_bengalensis,268.0178035,136.1665039,668.0896192,67977.91406,0
Bandicota_indica,231.1789062,103.3081055,662.3502641,68369.44531,0
Bandicota_savilei,107.5318922,54.88365936,336.7171867,65324.09375,0
Barbastella_barbastellus,70.98872343,23.16755199,230.3307226,23365.09961,0
Bassaricyon_gabbii,33.80215033,3.232447386,258.1498211,136044.2656,0
Bibimys_chacoensis,28.39670567,11.43014812,86.31040321,787.6652832,0
Bison_bison,0.266078992,0.005566043,8.885520514,1551.647949,0
Bison_bonasus,12.28981426,9.820211411,33.11501748,586.5345459,2.842601299
Blastocerus_dichotomus,12.10446666,1.495416284,85.4680561,5999.425781,0
Bos_gaurus,79.2061037,23.80893135,186.2145135,30170.24414,0
Bos_javanicus,38.59278322,7.875169277,171.8941776,13915.57617,0
Bos_mutus,0.26726519,0.144001484,0.390470515,3.855329037,0
Bos_taurus,NA,NA,NA,NA,NA
Boselaphus_tragocamelus,260.5477757,150.647049,576.9652851,57693.60547,0
Bradypus_tridactylus,2.731654361,0.401205271,29.29602943,1572.672241,0
Bradypus_variegatus,18.75937452,1.444885314,188.0237869,136044.2656,0
Bubalus_arnee,57.89237675,13.53464985,108.735251,697.0460815,0
Bubalus_bubalis,NA,NA,NA,NA,NA
Cabassous_centralis,43.24051386,11.0885582,228.295698,11073.37109,0
Callithrix_geoffroyi,17.39442002,9.906112671,45.63536301,623.7512817,0
Callithrix_jacchus,28.61823593,7.941752672,197.856543,45265.97656,0
Calomys_callosus,9.635521709,1.465182304,64.85907369,4560.058105,0
Calomys_laucha,19.085376,1.092312932,191.9295534,10983.91992,0
Calomys_musculinus,11.28717622,0.407643884,156.7554366,10983.91992,0
Calomys_tener,20.16405571,3.008409739,124.8929477,12724.88281,0
Caluromys_derbianus,50.15711686,12.40837288,218.0201622,11073.37109,0
Caluromys_philander,20.859254,1.545083523,204.5106767,45265.97656,0
Camelus_bactrianus,NA,NA,NA,NA,NA
Camelus_dromedarius,NA,NA,NA,NA,NA
Canis_adustus,29.37457628,9.516808033,168.2196869,67776.64063,0
Canis_aureus,60.52064372,5.263616085,316.0972863,102969.6953,0
Canis_familiaris,NA,NA,NA,NA,NA
Canis_latrans,13.78618529,0.013430495,141.467176,41261.44141,0
Canis_lupus,15.38445448,0.163758732,138.2243663,75848.01563,0
Canis_mesomelas,25.501379,3.320068121,184.5478792,67776.64063,0
Canis_simensis,93.49786306,81.05677795,40.85719604,311.9970398,11.82900238
Capra_aegagrus,37.41383173,13.34788704,211.5321371,9384.882813,0
Capra_hircus,NA,NA,NA,NA,NA
Capra_ibex,14.89327626,9.192633629,33.71698642,973.1416016,0
Capra_pyrenaica,18.73069846,8.969038963,42.79748457,2326.099365,0
Capreolus_capreolus,51.75309402,13.55050278,209.5877743,55977.76172,0
Capricornis_crispus,97.93220984,37.64848518,171.5712935,4123.883789,0
Caracal_caracal,35.86951312,5.375832558,235.2908176,102969.6953,0
Carollia_brevicauda,14.38638937,1.225204587,145.4949922,136044.2656,0
Carollia_perspicillata,18.72854251,1.452154994,167.9095665,136044.2656,0
Carollia_subrufa,109.5378989,46.2044754,313.7419109,9732.916992,0
Castor_fiber,21.7409405,2.965677023,145.0081737,55977.76172,0
Cavia_porcellus,NA,NA,NA,NA,NA
Cebus_apella,4.034982253,0.594588816,63.09131317,19928.29297,0
Cebus_capucinus,37.07904787,9.43023777,195.5651233,11073.37109,0
