host_species,host_order,viral_richness_observed,zoonotic_richness_observed,viral_richness_base_predict,viral_richness_max_predict,zoonotic_richness_base_predict,zoonotic_richness_max_predict,missing_viruses,missing_zoonoses
Cynopterus_sphinx,CHIROPTERA,5,4,2.8199801520588,33.3992850877549,3.48614698847737,20.4668046542334,28.3992850877549,16.4668046542334
Damaliscus_lunatus,CETARTIODACTYLA,4,1,2.19968675958004,20.9543482435889,1.3809426691959,6.17745907404133,16.9543482435889,5.17745907404133
Damaliscus_pygargus,CETARTIODACTYLA,1,1,1.0701611968981,13.7924253869135,0.374857269823937,4.33198058753763,12.7924253869135,3.33198058753763
Dasymys_incomtus,RODENTIA,2,1,2.60402233737845,34.3553720378705,1.29956708625666,18.6560445186516,32.3553720378705,17.6560445186516
Dasyprocta_leporina,RODENTIA,3,3,2.73112886228075,30.4186095211032,2.33620098937484,19.8241248951752,27.4186095211032,16.8241248951752
Dasypus_novemcinctus,CINGULATA,4,4,4.68488005527341,14.83041464034,2.83122215308357,9.85272205546854,10.83041464034,5.85272205546854
Desmodillus_auricularis,RODENTIA,1,1,1.121790236268,15.2419773752154,0.753545428217277,9.61205994011083,14.2419773752154,8.61205994011083
Desmodus_rotundus,CHIROPTERA,9,8,8.05267730894346,30.7944846861846,7.0711321074947,22.3539114239791,21.7944846861846,14.3539114239791
Diaemus_youngi,CHIROPTERA,1,1,2.95232851432336,34.9667928161141,0.862320718316069,25.3200106749138,33.9667928161141,24.3200106749138
Diceros_bicornis,PERISSODACTYLA,4,1,6.79342998354368,22.7417194937433,1.14251037997564,6.28046241623425,18.7417194937433,5.28046241623425
Diclidurus_albus,CHIROPTERA,1,1,2.70575716041255,35.6385048540224,0.850468076790492,25.8569909473799,34.6385048540224,24.8569909473799
Didelphis_marsupialis,DIDELPHIMORPHIA,9,9,10.1460961391087,20.8211285048439,7.21276360250301,15.9915355281277,11.8211285048439,6.99153552812775
Didelphis_virginiana,DIDELPHIMORPHIA,3,3,4.90412856933268,10.7666751323906,2.36908841313537,8.36272992217376,7.76667513239064,5.36272992217376
Diphylla_ecaudata,CHIROPTERA,1,1,2.73475102596297,33.3654099952044,0.891233160336833,24.9376944344577,32.3654099952044,23.9376944344577
Dipodomys_heermanni,RODENTIA,2,2,1.0664132796093,14.4895601289142,1.64693717425615,9.98029004351099,12.4895601289142,7.98029004351099
Dipodomys_merriami,RODENTIA,1,1,2.35009924295325,14.9197874540115,0.781788361903709,10.6930183428339,13.9197874540115,9.6930183428339
Dipodomys_nitratoides,RODENTIA,2,2,1.01171780445996,13.7464023015415,1.4777608908079,8.48120288446423,11.7464023015415,6.48120288446423
Dobsonia_moluccensis,CHIROPTERA,1,1,1.58665876475711,19.3580767338643,0.736560706507825,11.9817088096353,18.3580767338643,10.9817088096353
Eidolon_helvum,CHIROPTERA,10,8,5.74387046551144,32.4011738510123,6.9299515677415,19.5839357381957,22.4011738510123,11.5839357381957
Eonycteris_spelaea,CHIROPTERA,5,3,4.26668191391904,32.9189260018115,3.71272162360058,20.7251183598683,27.9189260018115,17.7251183598683
Epomophorus_gambianus,CHIROPTERA,2,1,2.45057516457899,31.5834429527511,1.49250949293631,19.6902756378442,29.5834429527511,18.6902756378442
Epomophorus_wahlbergi,CHIROPTERA,1,0,2.50772633933389,32.320017326655,0.726950832022953,19.7228879022754,31.320017326655,19.7228879022754
Epomops_franqueti,CHIROPTERA,4,4,2.54563290030142,32.8085637394148,2.99020592974939,20.4971498106618,28.8085637394148,16.4971498106618
Eptesicus_diminutus,CHIROPTERA,1,1,2.20457837020365,29.874277757255,1.01712458562383,25.7654776993661,28.874277757255,24.7654776993661
Eptesicus_furinalis,CHIROPTERA,1,1,3.00707466792743,31.4596146203183,1.00427695670781,26.390607644654,30.4596146203183,25.390607644654
Eptesicus_fuscus,CHIROPTERA,5,5,5.63101678686532,22.0679203634396,4.15301190082995,17.7991518080797,17.0679203634396,12.7991518080797
Eptesicus_serotinus,CHIROPTERA,3,2,5.03423029616245,22.9200323610788,2.35422884405878,16.6843547535039,19.9200323610788,14.6843547535039
Equus_hemionus,PERISSODACTYLA,1,0,3.26814306071445,24.494892181883,0.297557031859935,6.60604520539202,23.494892181883,6.60604520539202
Equus_quagga,PERISSODACTYLA,7,1,3.51998686364134,36.8256336897225,2.2400761944154,10.3460205519226,29.8256336897225,9.3460205519226
Erethizon_dorsatum,RODENTIA,2,2,3.64480366309011,17.9396824405645,1.4641937073119,11.7592009718344,15.9396824405645,9.7592009718344
Erinaceus_europaeus,EULIPOTYPHLA,1,1,1.45076309426872,3.80293446274684,0.844811876627317,3.21226695831919,2.80293446274684,2.21226695831919
Euderma_maculatum,CHIROPTERA,1,1,1.88266449325085,23.6311757580189,1.02248843305483,20.4125464614341,22.6311757580189,19.4125464614341
Eudorcas_thomsonii,CETARTIODACTYLA,6,1,1.50656203880109,19.8434727691941,1.95125387084235,5.81302879832212,13.8434727691941,4.81302879832212
Eulemur_albifrons,PRIMATES,1,1,0.959244985700887,12.9987445796428,0.608620913700408,6.65677880043282,11.9987445796428,5.65677880043282
Eulemur_macaco,PRIMATES,1,1,1.29535935434306,12.7294904957687,0.600073520951389,6.51826578781222,11.7294904957687,5.51826578781222
Eumops_glaucinus,CHIROPTERA,1,1,2.88986560546707,39.1606163544488,0.874889721015284,28.6272445474393,38.1606163544488,27.6272445474393
Eumops_perotis,CHIROPTERA,1,1,2.98401083462713,36.4065115918214,0.891911098790185,27.2856986277781,35.4065115918214,26.2856986277781
Felis_silvestris,CARNIVORA,7,1,1.99031839233345,9.09057311422903,4.00197504821586,4.93665005973305,2.09057311422903,3.93665005973305
Galago_senegalensis,PRIMATES,1,1,3.15944245635791,23.0109250287953,0.599529325069702,12.540716801716,22.0109250287953,11.540716801716
Galictis_cuja,CARNIVORA,1,1,0.977097140787973,11.9211022861041,0.794872799496563,7.91510251178506,10.9211022861041,6.91510251178506
Gazella_dorcas,CETARTIODACTYLA,1,0,2.22364302501166,13.7616905270591,0.343274446876269,4.14274265938207,12.7616905270591,4.14274265938207
Gazella_gazella,CETARTIODACTYLA,3,1,2.44730139463782,12.7891399901024,1.09309030798225,4.13546151845558,9.78913999010239,3.13546151845558
Gazella_subgutturosa,CETARTIODACTYLA,2,0,2.71494338250459,16.0102377496907,0.719809579265239,5.11111130162639,14.0102377496907,5.11111130162639
Genetta_genetta,CARNIVORA,1,1,2.12527802051432,10.3311400029621,0.623062543870552,5.7377555356281,9.33114000296205,4.7377555356281
Genetta_maculata,CARNIVORA,2,0,1.12665730449833,15.2673516653953,1.29775601316847,8.27926746632424,13.2673516653953,8.27926746632424
Gerbilliscus_brantsii,RODENTIA,1,1,1.68157438733924,22.1486236246167,0.667643105491305,13.5992500189235,21.1486236246167,12.5992500189235
Gerbilliscus_kempi,RODENTIA,6,1,2.0665549085148,24.9701115585503,3.81321935170598,14.2949713194141,18.9701115585503,13.2949713194141
Gerbilliscus_leucogaster,RODENTIA,1,1,1.91437551881406,25.2149314128671,0.666682905293166,14.9261434364731,24.2149314128671,13.9261434364731
Giraffa_camelopardalis,CETARTIODACTYLA,6,2,4.71132126531279,19.3627915689461,1.82620680215525,5.63245283022049,13.3627915689461,3.63245283022049
Glaucomys_volans,RODENTIA,1,1,3.39696694337014,16.1539016063922,0.730883971123519,10.6068189012386,15.1539016063922,9.60681890123856
Glossophaga_commissarisi,CHIROPTERA,1,1,3.20333948243233,43.408506017468,0.867312418693814,31.441069841754,42.408506017468,30.441069841754
Glossophaga_longirostris,CHIROPTERA,1,1,3.11618870338972,41.8847179835083,0.913063183267528,31.9545821050147,40.8847179835083,30.9545821050147
Glossophaga_morenoi,CHIROPTERA,1,1,2.20469859102068,26.6392969013001,0.915934288591014,20.5306604177852,25.6392969013001,19.5306604177852
Glossophaga_soricina,CHIROPTERA,9,9,5.90071250977949,32.6049083190057,7.65175422455652,24.6314237409471,23.6049083190057,15.6314237409471
Gorilla_gorilla,PRIMATES,10,9,9.79778708714736,18.6590205199669,8.7186348130672,16.7036264074866,8.65902051996691,7.70362640748663
Graomys_griseoflavus,RODENTIA,1,1,1.50425295284526,16.2385612187283,0.848162300297373,11.6185316907806,15.2385612187283,10.6185316907806
Handleyomys_alfaroi,RODENTIA,1,1,1.84357062800264,24.2823346219243,0.692914555332725,15.1562720296707,23.2823346219243,14.1562720296707
Heliosciurus_rufobrachium,RODENTIA,1,1,2.28693951065755,27.9018724859798,0.685956796226547,15.9821842197674,26.9018724859798,14.9821842197674
Herpestes_sanguineus,CARNIVORA,1,1,1.03295003501553,13.6279102679342,0.651808057454559,7.41732079197309,12.6279102679342,6.41732079197309
Heteromys_anomalus,RODENTIA,4,3,2.30092407938523,22.6111704847137,3.5613229381925,16.8240525330847,18.6111704847137,13.8240525330847
Hipposideros_abae,CHIROPTERA,1,1,2.45674622546702,33.0211462158252,0.740353577680428,20.787841435732,32.0211462158252,19.787841435732
Hipposideros_armiger,CHIROPTERA,2,2,4.30243760393022,36.2733260870055,1.44108528970656,22.0401862974471,34.2733260870055,20.0401862974471
Hipposideros_bicolor,CHIROPTERA,1,1,2.72460322663965,28.5044360280008,0.765348216775414,18.3132494400027,27.5044360280008,17.3132494400027
Hipposideros_caffer,CHIROPTERA,2,2,2.98759112532308,32.2513452895837,1.45535450047487,19.7904114828855,30.2513452895837,17.7904114828855
Hipposideros_cineraceus,CHIROPTERA,1,1,2.22599606410754,30.1645092796415,0.732607464806922,18.5029506413129,29.1645092796415,17.5029506413129
Hipposideros_diadema,CHIROPTERA,1,0,2.92903474941697,35.7357742539234,0.756983867669011,22.708251927226,34.7357742539234,22.708251927226
Hipposideros_larvatus,CHIROPTERA,1,1,2.67054805383259,33.5206780903286,0.740239117178316,20.7834946300813,32.5206780903286,19.7834946300813
Hipposideros_pomona,CHIROPTERA,2,2,2.35521478376036,31.0728056989859,1.42370261140276,18.4766196379151,29.0728056989859,16.4766196379151
Hipposideros_speoris,CHIROPTERA,2,2,1.43157546393471,17.9691132012022,1.38771974561775,10.6356180512052,15.9691132012022,8.63561805120519
Hippotragus_equinus,CETARTIODACTYLA,3,1,5.2832724640191,25.1240194462576,1.01079213317657,7.39815946804281,22.1240194462576,6.39815946804281
Hippotragus_niger,CETARTIODACTYLA,5,3,3.96945934910482,23.9690236125752,1.6689491339333,7.00028966491413,18.9690236125752,4.00028966491413
Holochilus_sciureus,RODENTIA,1,1,2.4109080380644,31.8075776109432,0.829877879954118,22.0459133263656,30.8075776109432,21.0459133263656
Hoplomys_gymnurus,RODENTIA,1,1,1.45765692509711,19.8054619793002,0.745149805505162,12.4015673621414,18.8054619793002,11.4015673621414
Hydromys_chrysogaster,RODENTIA,2,2,3.0778952755778,15.3544748805588,1.51320805766232,9.95110773476432,13.3544748805588,7.95110773476432
Hylaeamys_laticeps,RODENTIA,5,4,1.73816112356917,21.0021408013057,3.77971945245309,14.6008108119328,16.0021408013057,10.6008108119328
