"","hHostNameFinal","hMassGrams","PVRcytb_resid"
"135","Cervus_nippon",52999.99,0.106767629032915
"645","Rusa_unicolor",177522.9,1.33408521683162
"136","Cervus_timorensis",66375.5,0.350398910175138
"608","Rangifer_tarandus",109088.5,0.708699021803485
"602","Pudu_puda",9642.62,-1.66325116870311
"369","Mazama_gouazoubira",16633.17,-1.10797914739348
"67","Blastocerus_dichotomus",112518.53,0.821647627202576
"484","Odocoileus_hemionus",84560.57,0.508757835181758
"485","Odocoileus_virginianus",75901.25,0.402371439827072
"25","Antilocapra_americana",47450.01,-0.632788328259816
"171","Dama_dama",57224.61,-0.45275262659571
"729","Tragulus_javanicus",1889.93,-3.64328814531439
"145","Choeropsis_liberiensis",235001.16,0.563145473207675
"552","Phocoenoides_dalli",106042.53,-2.47422257711669
"550","Phocoena_phocoena",52730.93,-3.17453510893244
"247","Globicephala_melas",8e+05,-0.651575952516804
"733","Tursiops_truncatus",281040.55,-1.9500811981437
"681","Stenella_coeruleoalba",142102.96,-2.62891006680441
"178","Delphinus_delphis",79271.69,-3.21533781338634
"498","Orcinus_orca",5628758.66,1.22300327272595
"56","Balaenoptera_acutorostrata",5587093.59,1.95588049971522
"58","Balaenoptera_physalus",47506008.23,4.08745027062719
"215","Eschrichtius_robustus",27324024.19,3.50728877808651
"57","Balaenoptera_borealis",22106251.95,3.30981785039394
"556","Physeter_macrocephalus",14540959.82,3.05638369489592
"209","Equus_caballus",403598.53,2.86344436823257
"210","Equus_hemionus",235248.07,2.36392034346864
"211","Equus_quagga",4e+05,2.85773434772625
"208","Equus_asinus",164998.49,1.98285849455552
"182","Diceros_bicornis",995940.54,4.13255546842174
"114","Ceratotherium_simum",2285939.43,4.95075803377171
"603","Puma_concolor",53954.05,1.55626760991361
"4","Acinonyx_jubatus",50577.92,1.49328188881267
"228","Felis_silvestris",4573.08,-0.915016376905565
"225","Felis_catus",2884.8,-1.37565605370778
"575","Prionailurus_bengalensis",2780.97,-1.40783511000971
"333","Lynx_rufus",6374.47,-0.57748620006132
"309","Leopardus_pardalis",11880,0.0429065923395006
"331","Lynx_lynx",19300,0.527632459699799
"332","Lynx_pardinus",11050,-0.0282448609658395
"522","Panthera_pardus",52399.99,1.52660956614117
"521","Panthera_leo",158623.93,2.63496585795708
"237","Genetta_genetta",1756.17,-1.87993282644161
"238","Genetta_maculata",1950,-1.77468839664126
"518","Paguma_larvata",4300,-0.951798585087511
"162","Crocuta_crocuta",63369.98,1.77976253838646
"584","Proteles_cristata",8139.39,-0.278114046945922
"53","Atilax_paludinosus",3600.16,-1.25743848929055
"164","Cynictis_penicillata",694.41,-2.91720697968967
"287","Ichneumia_albicauda",3628.4,-1.27874957327685
"259","Herpestes_sanguineus",543.83,-3.18007860037776
"686","Suricata_suricatta",729.99,-2.84221521785667
"407","Mungos_mungo",1260,-2.23190501473636
"220","Eumetopias_jubatus",382466.74,1.3759405664834
"753","Zalophus_californianus",137194.86,0.328720512651606
"38","Arctocephalus_australis",67979.43,-0.449598400890517
"483","Odobenus_rosmarus",1042996.25,2.47060409989466
"170","Cystophora_cristata",278896.81,0.599314937906978
"604","Pusa_caspica",62326.2,-1.41502783192834
"605","Pusa_hispida",70963.6,-1.38294270786244
"549","Phoca_vitulina",87316.66,-1.22931275745694
"255","Halichoerus_grypus",197570.01,-0.398457545846526
"606","Pusa_sibirica",89499.99,-1.12818222025326
"517","Pagophilus_groenlandicus",132250,-0.360880378350699
"402","Mirounga_leonina",1600000,2.97903061865173
"320","Lobodon_carcinophaga",224999.99,1.00198174278172
"310","Leptonychotes_weddellii",4e+05,1.57198280342301
"506","Otocyon_megalotis",4098.12,-1.17966984294424
"330","Lycaon_pictus",21999.99,0.582543642894161
"93","Canis_mesomelas",8247.3,-0.378751987280564
"149","Chrysocyon_brachyurus",23325,0.700590673819209
"88","Canis_adustus",10392.49,-0.0501797748599759
"89","Canis_aureus",9658.7,-0.130352687855047
"92","Canis_lupus",31756.51,1.06835704145007
"90","Canis_familiaris",14400.99333,0.278663751416119
"91","Canis_latrans",11989.1,0.0786067700060912
"94","Canis_simensis",14361.86,0.230198614093382
"585","Pseudalopex_gymnocercus",4542.67,-0.908476765364968
"586","Pseudalopex_vetulus",4233.47,-0.979369704739695
"735","Urocyon_cinereoargenteus",3833.71,-1.26728015289736
"16","Alopex_lagopus",3584.37,-1.33446858251407
"750","Vulpes_vulpes",4820.36,-1.03800536981957
"475","Nyctereutes_procyonoides",4214.99,-1.17125776318568
"738","Ursus_americanus",110500,1.53386241551656
"739","Ursus_arctos",196287.5,2.07110461253929
"740","Ursus_maritimus",371703.81,2.70732872206425
"376","Mephitis_mephitis",2399.99,-0.672837151976106
"453","Nasua_narica",4578.43,0.00349302562050879
"579","Procyon_lotor",6373.72,0.338597149599258
"63","Bassaricyon_gabbii",1250,-1.36136721788263
"374","Mellivora_capensis",8999.99,1.39607020210475
"373","Meles_meles",11884.03,1.706225768681
"713","Taxidea_taxus",7842.15,1.25192943977058
"417","Mustela_lutreola",566.44,-0.881773322324878
"418","Mustela_nigripes",907.1,-0.403858963848715
"470","Neovison_vison",660,-0.78312697433207
"329","Lutra_lutra",8868.69,1.69837656107914
"233","Galictis_cuja",1000,-0.346266631570265
"322","Lontra_canadensis",8087.42,1.60564394214241
"375","Melogale_moschata",938.5,-0.707414377877413
"364","Martes_pennanti",3750,0.666473472135908
"363","Martes_foina",1675,-0.17313550053983
"572","Potos_flavus",2441.81,-0.899957399102793
"168","Cynopterus_brachyotis",33.87,-1.79802130943585
"169","Cynopterus_sphinx",44.71,-1.52221445524551
"192","Dobsonia_moluccensis",447.64,0.832798945843483
"688","Syconycteris_australis",17.6,-2.37580615109172
"348","Macroglossus_minimus",16.3,-2.43747531305102
"195","Eidolon_helvum",254.61,0.327461526400829
"591","Pteropus_alecto",610.13,1.31261182707591
"595","Pteropus_hypomelanus",435.61,0.973372325130198
"600","Pteropus_scapulatus",380.35,0.868011909789173
"599","Pteropus_rufus",535.32,1.23213557009727
"594","Pteropus_giganteus",824.85,1.66574191429023
"601","Pteropus_vampyrus",1027.54,1.88958231907907
"596","Pteropus_lylei",319.75,0.720602933691495
"598","Pteropus_poliocephalus",702.78,1.46862709890075
"593","Pteropus_conspicillatus",760.71,1.55045092814545
"642","Rousettus_madagascariensis",65.72,-0.892772393922288
"641","Rousettus_leschenaultii",84.88,-0.63200599240176
"639","Rousettus_aegyptiacus",134,-0.177605577079205
"640","Rousettus_amplexicaudatus",74.37,-0.797271301719304
"425","Myonycteris_torquata",44.92,-1.30970384810129
"202","Epomops_franqueti",118.99,-0.301686191813102
"200","Epomophorus_wahlbergi",93.59,-0.533810921304903
"198","Epomophorus_gambianus",134.59,-0.162238865749699
"384","Micropteropus_pusillus",25.38,-1.82960927295441
"197","Eonycteris_spelaea",58.7,-1.06846192285935
"370","Megaderma_lyra",39.27,-0.351047598249447
"624","Rhinolophus_blasii",10.29,0.183005856065804
"626","Rhinolophus_euryale",9.25,0.102912089613446
"631","Rhinolophus_mehelyi",14.03,0.519491177714056
"628","Rhinolophus_hildebrandti",11.78181818,0.367170121478018
"625","Rhinolophus_eloquens",19.15,0.847103895044325
"627","Rhinolophus_ferrumequinum",22.59,0.964346138542143
"635","Rhinolophus_sinicus",11.78181818,0.21405216351274
"623","Rhinolophus_affinis",13.7,0.381343102236268
"632","Rhinolophus_pearsonii",11.55,0.222681153957031
"629","Rhinolophus_lepidus",5.46,-0.452462467360992
"633","Rhinolophus_pusillus",5.15,-0.511433878232847
"630","Rhinolophus_macrotis",6.18,-0.362099920522756
"262","Hipposideros_armiger",49.99,1.17781431030642
"268","Hipposideros_larvatus",19.95,0.269642882507619
"266","Hipposideros_diadema",46.9,1.06737091175412
"261","Hipposideros_abae",31.87,0.666794045197072
"264","Hipposideros_caffer",9.46,-0.564714937039419
"269","Hipposideros_pomona",6.2,-1.0040413330364
"263","Hipposideros_bicolor",8.39,-0.691355739326041
"265","Hipposideros_cineraceus",3.84,-1.46216114841166
"270","Hipposideros_speoris",10.39,-0.610541500720358
"638","Rhynchonycteris_naso",4.14,-2.48471624369206
"183","Diclidurus_albus",16.56,-1.08772247434929
"478","Nycteris_thebaica",9.2,-1.25380108783166
"398","Miniopterus_fuliginosus",11.46,-0.901470262099836
"399","Miniopterus_inflatus",14.9,-0.614651659955651
"400","Miniopterus_schreibersii",11.46,-0.897919313465525
"709","Taphozous_melanopogon",25.99,-0.150630277673967
"647","Saccolaimus_saccolaimus",43,0.355080507298507
"646","Saccolaimus_flaviventris",45.25,0.367995874342724
"697","Tadarida_brasiliensis",12.61,-0.481826903181806
"404","Molossus_molossus",13.7,-0.306829455841907
