vVirusNameCorrected,hHostNameFinal,WildDomInReference,DetectionMethod,DetectionQuality,Reference
Salem_virus,Equus_caballus,domestic,Isolation,2,"Renshaw RW, Glaser AL, Van Campen H, Weiland F, Dubovi EJ. Identification and phylogenetic comparison of Salem virus, a novel paramyxovirus of horses. Virology. 2000 May 10;270(2):417-29. PubMed PMID: 10793001."
Semliki_Forest_virus,Equus_caballus,domestic,Antibodies,0,"Krauss, H Zoonoses: infectious diseases transmissible from animals to humans, ASM Press 2003"
Sepik_virus,Equus_caballus,domestic,Antibodies,0,Olson et al. 1983
Shuni_virus,Equus_caballus,domestic,Isolation,2,van Eeden et al. 2012
St._Louis_encephalitis_virus,Equus_caballus,domestic,Antibodies,0,Monath et al. 1985
Suid_herpesvirus_1,Equus_caballus,domestic,"Cell culture, PCR",2,"Kimman et al., 1991"
Trubanaman_virus,Equus_caballus,domestic,Antibodies,0,Johansen et al. 2005
Turlock_virus,Equus_caballus,domestic,Antibodies,0,Sabattini et al. 1965
Una_virus,Equus_caballus,domestic,Antibodies,0,Diaz et al. 2003
Vaccinia_virus,Equus_caballus,domestic,VNT,1,Peres et al. 2013
Venezuelan_equine_encephalitis_virus,Equus_caballus,domestic,PCR,2,"Navarro, J-C et al. 2005"
Vesicular_stomatitis_Alagoas_virus,Equus_caballus,domestic,Isolation,2,Federer et al. 1967; Andrade et al. 1980
Vesicular_stomatitis_Indiana_virus,Equus_caballus,domestic,Antibodies,0,Fletcher et al. 1985
Wesselsbron_virus,Equus_caballus,domestic,Antibodies,0,Baba et al. 1994
West_Nile_virus,Equus_caballus,domestic,PCR,2,"Ibarra-Juarez, L. et al 2012"
Western_equine_encephalitis_virus,Equus_caballus,domestic,Antibodies,0,Calisher et al. 1983
Equid_herpesvirus_9,Equus_hemionus,wild,Isolation,2,Kasem et al. 2008
African_horse_sickness_virus,Equus_quagga,wild,Antibodies,0,Machlachlan et al. 2010
Akabane_virus,Equus_quagga,wild,Antibodies,0,Davies et al. 1985
Crimean-Congo_hemorrhagic_fever_virus,Equus_quagga,wild,Antibodies,0,Shepherd et al. 1987
Equid_herpesvirus_4,Equus_quagga,wild,Antibodies,0,Borchers and Frolich 1997
Equid_herpesvirus_9,Equus_quagga,wild,Antibodies,0,Borchers et al. 2005
Equine_arteritis_virus,Equus_quagga,wild,Antibodies,0,Borchers et al. 2005
Equine_encephalosis_virus,Equus_quagga,wild,Antibodies,0,"Barnard et al. 1993 Prevalence of Antibodies against some equine viruses in zebra (Zebra Burchelli) in the Kruger National Park, 1991-1992, Onderstepoort Journal of Veterinary Research 60 (3: 175-179 Full Text Unavailable"
Colorado_tick_fever_virus,Erethizon_dorsatum,wild,Isolation,2,McLean et al. 1993
Rabies_virus,Erethizon_dorsatum,wild,Antibodies,0,Childs et al. 1997
Foot-and-mouth_disease_virus,Erinaceus_europaeus,wild,Isolation,2,McLauchlan et al. 1948
Cercopithecine_herpesvirus_9,Erythrocebus_patas,captive,Isolation,2,"McCarthy, K., E. Thorpe, A. C. Laursen, C. S. Heymann, and A. J. Beale. 1968. Exanthematous disease in patas monkeys caused by a herpesvirus.Lancet2:856-857."
Chikungunya_virus,Erythrocebus_patas,wild,Isolation,2,Diallo et al. 1999
Dugbe_virus,Erythrocebus_patas,wild,Isolation,2,"Med Parazitol (Mosk). 1996 Apr-Jun;(2):40-5. ""Arbovirus circulation in the Republic of Guinea"""
Simian_hemorrhagic_fever_virus,Erythrocebus_patas,captive,Isolation,2,"Gravell M, London WT, Leon ME, Palmer AE, Hamilton RS (1986) Differences among isolates of simian hemorrhagic fever (SHF) virus. Proceedings of the Society for Experimental Biology and Medicine 181: 112_119."
Yaba_monkey_tumor_virus,Erythrocebus_patas,wild,Antibodies,0,Downie 1974
Yellow_fever_virus,Erythrocebus_patas,wild,Isolation,2,Deubel et al. 1985
Vesicular_exanthema_of_swine_virus,Eschrichtius_robustus,wild,Antibodies,0,Smith et al. 1978
Rabies_virus,Euderma_maculatum,wild,Isolation,2,Nadin-Davis et al. 2001
Akabane_virus,Eudorcas_thomsonii,wild,Antibodies,0,Davies et al. 1985
Bluetongue_virus,Eudorcas_thomsonii,wild,Antibodies,0,Anderson et al. 1998
Equid_herpesvirus_1,Eudorcas_thomsonii,captive,PCR,2,Wohlsein et al. 2011
Equid_herpesvirus_9,Eudorcas_thomsonii,wild,Isolation,2,Fukushi et al. 1997
Foot-and-mouth_disease_virus,Eudorcas_thomsonii,wild,Antibodies,0,"Anderson, 1981; From Weaver and Karesh In Press"
Peste-des-petits-ruminants_virus,Eudorcas_thomsonii,wild,Isolation,2,Abu Elzein et al. 2004
Encephalomyocarditis_virus,Eulemur_albifrons,wild,Antibodies,0,Canelli et al. 2010
Encephalomyocarditis_virus,Eulemur_macaco,wild,Antibodies,0,Canelli et al. 2010
Great_Island_virus,Eumetopias_jubatus,wild,Antibodies,0,Barlough et al. 1998
Vesicular_exanthema_of_swine_virus,Eumetopias_jubatus,wild,Isolation,2,Barlough et al. 1998
Rabies_virus,Eumops_auripendulus,wild,Isolation,2,Kobayashi et al. 2005
Rabies_virus,Eumops_glaucinus,wild,Isolation,2,[427]
Rabies_virus,Eumops_patagonicus,wild,Isolation,2,Cisterna et al. 2005
Rabies_virus,Eumops_perotis,wild,PCR,2,Castilho et al. 2008
Barmah_Forest_virus,Felis_catus,domestic,Antibodies,0,Kay et al. 2007
Borna_disease_virus,Felis_catus,domestic,Antibodies,0,Kamnieh et al. 2008
Encephalomyocarditis_virus,Felis_catus,domestic,Antibodies,0,"Smith, Zimmerman et al. 1992"
Feline_astrovirus,Felis_catus,domestic,PCR,2,Atkins at al. 2009
Feline_calicivirus,Felis_catus,domestic,Isolation,2,Ohe et al. 2006
Feline_coronavirus,Felis_catus,domestic,PCR,2,Kipar et al. 2010
Feline_foamy_virus,Felis_catus,domestic,Isolation,2,"Winkler IG, L_chelt M, Flower RL. Epidemiology of feline foamy virus and feline immunodeficiency virus infections in domestic and feral cats: a seroepidemiological study. J Clin Microbiol. 1999 Sep;37(9):2848-51. PubMed PMID: 10449463; PubMed Central PMCID: PMC85393."
Feline_immunodeficiency_virus,Felis_catus,domestic,PCR,2,Fujimo et al. 2008
Feline_leukemia_virus,Felis_catus,domestic,PCR,2,"Englert T, Lutz H, Sauter-Louis C, Hartmann K. Survey of the feline leukemia virus infection status of cats in Southern Germany. J Feline Med Surg. 2012 Jun;14(6):392-8. doi: 10.1177/1098612X12440531. Epub 2012 Mar 8. PubMed PMID: 22403413."
Feline_papillomavirus,Felis_catus,domestic,PCR,2,"Terai M, Burk RD. Felis domesticus papillomavirus, isolated from a skin lesion, is related to canine oral papillomavirus and contains a 1.3 kb non-coding region between the E2 and L2 open reading frames. J Gen Virol. 2002 Sep;83(Pt 9):2303-7. PubMed PMID: 12185286."
Human_herpesvirus_4,Felis_catus,domestic,Antibodies,0,Milman et al. 2010
Human_norovirus-Alphatron,Felis_catus,domestic,Antibodies,0,"Di Martino B, Marsilio F, Di Profio F, Lorusso E, Friedrich KG, Buonavoglia C, Martella V. Detection of antibodies against norovirus genogroup GIV in carnivores. Clin Vaccine Immunol. 2010 Jan;17(1):180-2. doi: 10.1128/CVI.00312-09. Epub 2009 Nov 18. PubMed PMID: 19923574; PubMed Central PMCID: PMC2812098."
Mokola_virus,Felis_catus,domestic,Isolation,2,Meredith et al. 1996
Rabies_virus,Felis_catus,domestic,PCR,2,Nadin-Davies et al. 1994
Racoonpox_virus,Felis_catus,domestic,PCR,2,"Yager JA, Hutchison L, Barrett JW. Raccoonpox in a Canadian cat. Vet Dermatol. 2006 Dec;17(6):443-8. PubMed PMID: 17083577."
Suid_herpesvirus_1,Felis_catus,domestic,"Cell culture, PCR",2,Salwa 2004
Vaccinia_virus,Felis_catus,domestic,VNT,1,Peres et al. 2013
Suid_herpesvirus_1,Felis_concolor,wild,Isolation,2,Glass et al. 1994
Rabies_virus,Felis_nigripes,wild,PCR,2,van Zyl et al. 2009
Felid_herpesvirus_1,Felis_silvestris,wild,Antibodies,0,Leutenegger et al. 1999
Feline_calicivirus,Felis_silvestris,wild,PCR,2,"Daniels MJ, Golder MC, Jarrett O, MacDonald DW. Feline viruses in wildcats from Scotland. J Wildl Dis. 1999 Jan;35(1):121-4. PubMed PMID: 10073361."
Feline_coronavirus,Felis_silvestris,wild,Antibodies,0,"Daniels MJ, Golder MC, Jarrett O, MacDonald DW. Feline viruses in wildcats from Scotland. J Wildl Dis. 1999 Jan;35(1):121-4. PubMed PMID: 10073361."
Feline_foamy_virus,Felis_silvestris,wild,Isolation,2,"Daniels MJ, Golder MC, Jarrett O, MacDonald DW. Feline viruses in wildcats from Scotland. J Wildl Dis. 1999 Jan;35(1):121-4. PubMed PMID: 10073361."
Feline_leukemia_virus,Felis_silvestris,wild,PCR,2,"Willi B, Filoni C, Catao-Dias JL, Cattori V, Meli ML, Vargas A, Martinez F, Roelke ME, Ryser-Degiorgis MP, Leutenegger CM, Lutz H, Hofmann-Lehmann R (2007) Worldwide occurrence of feline hemoplasma infections in wild felid species. J Clin Microbiol 45:1159_1166 89. Woodman Z, Williamson C (2009) HIV molecular epidemiology: transmission and adaptation to human populations. Curr Opin HIV AIDS 4:247_252"
Feline_panleukopenia_virus,Felis_silvestris,wild,Isolation,2,"Daniels MJ, Golder MC, Jarrett O, MacDonald DW. Feline viruses in wildcats from Scotland. J Wildl Dis. 1999 Jan;35(1):121-4. PubMed PMID: 10073361."
Rabies_virus,Felis_silvestris,wild,PCR,2,Lembo et al. 2008
Kyasanur_Forest_disease_virus,Funambulus_tristriatus,wild,Antibodies,0,Webb et al. 1965
Monkeypox_virus,Funisciurus_anerythrus,wild,Isolation,2,Hutson et al.2007
Monkeypox_virus,Funisciurus_congicus,wild,Isolation,2,"Khodakevich L, Jezek Z, Kinzana K. 1986 Isolation of monkeypox from a wild squirrel. Lancet 1986;1:98--9."
Chikungunya_virus,Galago_senegalensis,wild,Antibodies,0,Brack 1987
Junin_virus,Galictis_cuja,wild,Antibodies,0,Mills et al. 1994
Peste-des-petits-ruminants_virus,Gazella_dorcas,wild,Isolation,2,Abu Elzein et al. 2004
Bluetongue_virus,Gazella_gazella,wild,Isolation,2,Barzilai 1971
Bovine_ephemeral_fever_virus,Gazella_gazella,wild,SNT,1,Aziz-Boaran et al. 2013
Foot-and-mouth_disease_virus,Gazella_gazella,wild,Isolation,2,"http://wildlife1.wildlifeinformation.org/S/virus/picornaviridae/picornaviridae_fmdvirus/FMDVSppDefinitiveHost.html, Primary Reference Unavailable Shimsony, A 1986 Malignant Foot-And-Mouth Disease in Mountain Gazelles, Veterinary Record 119 (8 175"
Bluetongue_virus,Gazella_subgutturosa,wild,ELISA,0,Gur 2008
Epizootic_hemorrhagic_disease_virus,Gazella_subgutturosa,wild,Antibodies,0,Albayrak etl al. 2010
Rabies_virus,Genetta_genetta,wild,PCR,2,Lembo et al. 2008
African_horse_sickness_virus,Genetta_maculata,wild,bcELISA,0,Alexander et al. 1995
Bluetongue_virus,Genetta_maculata,wild,Antibodies,0,"Alexander, MacLachlan et al. 1994"
Crimean-Congo_hemorrhagic_fever_virus,Gerbilliscus_brantsii,wild,Antibodies,0,Shepherd et al. 1987
Arumowot_virus,Gerbilliscus_kempi,wild,isolation,2,Kemp et al. 1974
Keuraliba_virus,Gerbilliscus_kempi,wild,Isolation,2,Kemp 1975
Koutango_virus,Gerbilliscus_kempi,wild,Isolation,2,Butenko AM et al. 1986
Qalyub_virus,Gerbilliscus_kempi,wild,Isolation,2,[229]
Saboya_virus,Gerbilliscus_kempi,wild,Isolation,2,Kemp 1975; Varelas-Wesley et al. 1982
Taterapox_virus,Gerbilliscus_kempi,wild,Isolation,2,"Lourie B, Nakano JH, Kemp GE, Setzer HW (1975) Isolation of poxvirus from an African Rodent. J Infect Dis 132: 677_81."
Crimean-Congo_hemorrhagic_fever_virus,Gerbilliscus_leucogaster,wild,Antibodies,0,Shepherd et al. 1987
Bunyamwera_virus,Gerbilliscus_validus,wild,Antibodies,0,Henderson et al. 1972
Bluetongue_virus,Giraffa_camelopardalis,wild,ELISA,0,"Kimber et al, 2002"
Crimean-Congo_hemorrhagic_fever_virus,Giraffa_camelopardalis,wild,Antibodies,0,Shepherd et al. 1987
Equid_herpesvirus_9,Giraffa_camelopardalis,wild,Isolation,2,Kasem et al. 2008
Foot-and-mouth_disease_virus,Giraffa_camelopardalis,wild,Antibodies,0,Hamblin et al. 1990
Lumpy_skin_disease_virus,Giraffa_camelopardalis,wild,Antibodies,0,Hedger et al. 1983
Rinderpest_virus,Giraffa_camelopardalis,wild,PCR,2,Roeder PL. Rinderpest: the end of cattle plague. Prev Vet Med. 2011 Nov 1;102(2):98-106. doi: 10.1016/j.prevetmed.2011.04.004. Epub 2011 Jul 23. Review. PubMed PMID: 21783268.
Rabies_virus,Glaucomys_volans,wild,Antibodies,0,Childs et al. 1997
Rift_Valley_fever_virus,Glauconycteris_argentata,wild,Isolation,2,Calisher et al. 2006
Encephalomyocarditis_virus,Glis_glis,wild,Isolation,2,Amaddeo et al. 1995
Cetacean_morbillivirus_virus,Globicephala_melas,wild,PCR,2,"Bellire EN, Esper_n F, S_nchez-Vizcano JM. Genetic comparison among dolphin morbillivirus in the 1990-1992 and 2006-2008 Mediterranean outbreaks. Infect Genet Evol. 2011 Dec;11(8):1913-20. doi: 10.1016/j.meegid.2011.08.018. Epub 2011 Aug 26. PubMed PMID: 21888991."
Influenza_A_virus,Globicephala_melas,wild,Isolation,2,Hinshaw et al. 1986
Venezuelan_equine_encephalitis_virus,Glossophaga_commissarisi,wild,Antibodies,0,Seymour et al. 1978
Rabies_virus,Glossophaga_longirostris,wild,Antibodies,0,Price and Everard 1977
Rabies_virus,Glossophaga_morenoi,wild,Antibodies,0,[384]
Eastern_equine_encephalitis_virus,Glossophaga_soricina,wild,Antibodies,0,Ubico and McClean 1995
Ilheus_virus,Glossophaga_soricina,wild,Antibodies,0,Price et al. 1978
Rabies_virus,Glossophaga_soricina,wild,Antibodies,0,Sodre et al. 2007
Rio_Bravo_virus,Glossophaga_soricina,wild,Antibodies,0,Ubico and McClean 1995
St._Louis_encephalitis_virus,Glossophaga_soricina,wild,Antibodies,0,Ubico and McClean 1995
Venezuelan_equine_encephalitis_virus,Glossophaga_soricina,wild,Isolation,2,Sulkin & Allen 1974; Sudia & Newhouse 1975
Vesicular_stomatitis_Indiana_virus,Glossophaga_soricina,wild,Antibodies,0,Tesh et al. 1969
Vesicular_stomatitis_New_Jersey_virus,Glossophaga_soricina,wild,Antibodies,0,Tesh et al. 1969
Yellow_fever_virus,Glossophaga_soricina,wild,Antibodies,0,Price 1978
Hepatitis_B_virus,Gorilla_beringei,wild,Antibodies,0,Sa-Nguanmoo et al. 2009
Human_adenovirus_B,Gorilla_beringei,wild,PCR,2,Roy et al. 2009
Human_adenovirus_C,Gorilla_beringei,wild,PCR,2,Roy et al. 2009
Human_herpesvirus_1,Gorilla_beringei,wild,Antibodies,0,Fowler & Miller. 2003
Human_metapneumovirus,Gorilla_beringei,wild,PCR,2,"Palacios G, Lowenstine LJ, Cranfield MR, Gilardi KVK, Spelman L, Lukasik-Braum M, et al. Human metapneumovirus infection in wild mountain gorillas, Rwanda. Emerg Infect Dis [serial on the Internet]. 2011 Apr [date cited]."
Hepatitis_B_virus,Gorilla_gorilla,wild,Antibodies,0,Sa-Nguanmoo et al. 2009
Human_adenovirus_B,Gorilla_gorilla,wild,PCR,2,Roy et al. 2009
Human_adenovirus_C,Gorilla_gorilla,wild,PCR,2,Roy et al. 2009
Human_adenovirus_F,Gorilla_gorilla,wild,PCR,2,"Wevers et al. 2011, J of Virology"
Human_enterovirus_A,Gorilla_gorilla,wild,PCR,2,Sadeuh-Mba et al. 2014
Human_enterovirus_D,Gorilla_gorilla,wild,PCR,2,Harvala et al. 2011
Human_herpesvirus_1,Gorilla_gorilla,wild,Antibodies,0,Fowler & Miller. 2003
Pongine_herpesvirus_3,Gorilla_gorilla,captive,isolation,2,"Neubauer RH, Rabin H, Strnad BC, Nonoyama M, Nelson-Rees WA. Establishment of a lymphoblastoid cell line and isolation of an Epstein-Barr-related virus of gorilla origin. J Virol. 1979 Sep;31(3):845-8. PubMed PMID: 92573; PubMed Central PMCID: PMC353513."
Simian_foamy_virus,Gorilla_gorilla,wild,PCR,2,Hussain et al. 2003
Zaire_ebolavirus,Gorilla_gorilla,wild,PCR,2,Leroy et al. 2004
Andes_virus,Graomys_griseoflavus,wild,Antibodies,0,Chu et al. 2003
Phocine_distemper_virus,Halichoerus_grypus,wild,Antibodies,0,Duignan et al. 1995
Venezuelan_equine_encephalitis_virus,Handleyomys_alfaroi,wild,Antibodies,0,Estrada-Franco et al. 2004
Pichinde_virus,Handleyomys_fuscatus,wild,Isolation,2,[218]
Monkeypox_virus,Heliosciurus_rufobrachium,wild,Antibodies,0,Khodakevich et al 1987
Rabies_virus,Herpestes_sanguineus,wild,PCR,2,van Zyl et al. 2010
Bimiti_virus,Heteromys_anomalus,wild,Isolation,2,"Shope, R. E., J. P. Woodall, and A. P. A. Travassos da Rosa. 1988. The epidemiology of disease caused by viruses in group C and Guam_ (Bunyaviridae), p. 37-52. In T. P. Monath (ed.), The arboviruses: epidemiology and ecology. CRC Press, Inc., Boca Raton, Fla."
Caraparu_virus,Heteromys_anomalus,wild,Isolation,2,"Shope, R. E., J. P. Woodall, and A. P. A. Travassos da Rosa. 1988. The epidemiology of disease caused by viruses in group C and Guam_ (Bunyaviridae), p. 37-52. In T. P. Monath (ed.), The arboviruses: epidemiology and ecology. CRC Press, Inc., Boca Raton, Fla."
Guama_virus,Heteromys_anomalus,wild,Isolation,2,"Shope, R. E., J. P. Woodall, and A. P. A. Travassos da Rosa. 1988. The epidemiology of disease caused by viruses in group C and Guam_ (Bunyaviridae), p. 37-52. In T. P. Monath (ed.), The arboviruses: epidemiology and ecology. CRC Press, Inc., Boca Raton, Fla."
Venezuelan_equine_encephalitis_virus,Heteromys_anomalus,wild,Isolation,2,Downs et al. 1963
Rift_Valley_fever_virus,Hipposideros_abae,wild,Isolation,2,Calisher et al. 2006
Japanese_encephalitis_virus,Hipposideros_armiger,wild,Isolation,2,Taylor et al. (EID database); Calisher et al.
Nipah_virus,Hipposideros_armiger,wild,Antibodies,0,Li et al. 2008. EID
Japanese_encephalitis_virus,Hipposideros_bicolor,wild,Antibodies,0,Cui et al. 2008
Chikungunya_virus,Hipposideros_caffer,wild,Isolation,2,Calisher et al. 2006
Rift_Valley_fever_virus,Hipposideros_caffer,wild,Isolation,2,Konstantinov et al. 2006
Japanese_encephalitis_virus,Hipposideros_cineraceus,wild,Antibodies,0,Cui et al. 2008
Issyk-Kul_virus,Hipposideros_diadema,wild,Isolation,2,Calisher et al. 2006
Kyasanur_Forest_disease_virus,Hipposideros_lankadiva,wild,Antibodies,0,Bhat et al. 1978
Nipah_virus,Hipposideros_larvatus,wild,PCR,2,Wacharapluesadee et al. 2005
Japanese_encephalitis_virus,Hipposideros_pomona,wild,Antibodies,0,Cui et al. 2008
Nipah_virus,Hipposideros_pomona,wild,Antibodies,0,Li et al. 2008. EID
Japanese_encephalitis_virus,Hipposideros_speoris,wild,Antibodies,0,Cui et al. 2008
Kyasanur_Forest_disease_virus,Hipposideros_speoris,wild,Antibodies,0,Bhat et al. 1978
Bovine_viral_diarrhea_virus_1,Hippotragus_equinus,wild,SNT,1,Depner et al. 1991
Foot-and-mouth_disease_virus,Hippotragus_equinus,wild,Antibodies,0,"Condy et al., 1969; From Weaver and Karesh In Press"
Hippotragine_herpesvirus_1,Hippotragus_equinus,zoo,Antibodies,0,"Reid HW, Bridgen A. Recovery of a herpesvirus from a roan antelope (Hippotragus equinus). Vet Microbiol. 1991 Aug 15;28(3):269-78. PubMed PMID: 1897131."
Bluetongue_virus,Hippotragus_niger,wild,Antibodies,0,Anderson et al. 1998
Bovine_viral_diarrhea_virus_1,Hippotragus_niger,wild,SNT,1,Hamblin and Hedger 1979
Crimean-Congo_hemorrhagic_fever_virus,Hippotragus_niger,wild,Antibodies,0,Shepherd et al. 1987
Foot-and-mouth_disease_virus,Hippotragus_niger,wild,Antibodies,0,Hamblin et al. 1990
Rift_Valley_fever_virus,Hippotragus_niger,wild,Antibodies,0,Anderson & Rowe 1998
Rabies_virus,Histiotus_montanus,wild,Isolation,2,Cisterna et al. 2005
Rabies_virus,Histiotus_velatus,wild,Antibodies,0,Scheffer et al. 2007
Rio_Mamore_virus,Holochilus_sciureus,wild,PCR,2,"[24, 247]"
Adeno-associated_virus-1,Homo_sapiens,human,Antibodies,0,Xiao et al. 1999
Adeno-associated_virus-2,Homo_sapiens,human,Isolation,2,Gao et al. 2003
Adeno-associated_virus-5,Homo_sapiens,human,Isolation,2,"Bantel-Schaal U., zur Hausen H. (1984) Characterization of the DNA of a defective human parvovirus isolated from a genital site. Virology 134:52_63."
African_green_monkey_polyomavirus,Homo_sapiens,human,Antibodies,0,"Takemoto KK, Segawa K. A new monkey lymphotropic papovavirus: characterization of the virus and evidence of a related virus in humans. Prog Clin Biol Res. 1983;105:87-96. PubMed PMID: 6304774."
Aichi_virus,Homo_sapiens,human,Isolation,2,Yamashita et al. 1991 or 1995?
Aleutian_mink_disease_virus,Homo_sapiens,human,Antibodies,0,Jepsen et al. 2009
Andes_virus,Homo_sapiens,human,PCR,2,Medina et al. 2009
Anopheles_A_virus,Homo_sapiens,human,Isolation,2,NA
Aroa_virus,Homo_sapiens,human,Isolation,2,Shrihongse and Johnson 1971
Aura_virus,Homo_sapiens,human,Hemagglutination inhibition assay; Neutralization test,0,Sabattini et al. 1965
Australian_bat_lyssavirus,Homo_sapiens,human,PCR,2,Allworth et al. 2006
Bangui_virus,Homo_sapiens,human,Isolation,2,Digoutte et al. 1973
Banna_virus,Homo_sapiens,human,Isolation,2,Attoui et al. 2005
Banzi_virus,Homo_sapiens,human,Isolation,2,Smithburn et al. 1959
Barmah_Forest_virus,Homo_sapiens,human,PCR,2,Attoui et al. 2007
Bayou_virus,Homo_sapiens,human,PCR,2,Morzunov et al. 1995
Bebaru_virus,Homo_sapiens,human,Isolation,2,Attoui et al. 2007
Bhanja_virus,Homo_sapiens,human,Antibodies,0,Calisher et al. database
BK_polyomavirus,Homo_sapiens,human,Isolation,2,Gardner et al. 1971
Black_Creek_Canal_virus,Homo_sapiens,human,PCR,2,Ravkov et al. 1995
Borna_disease_virus,Homo_sapiens,human,Antibodies,0,Kinnunen et al. 2007
Bouboui_virus,Homo_sapiens,human,Isolation,2,Digoutte JP et al 1971
Bovine_leukemia_virus,Homo_sapiens,human,Antibodies,0,Buehring et al. 2003
Bovine_papular_stomatitis_virus,Homo_sapiens,human,Isolation,2,McEvoy 1972
Bunyamwera_virus,Homo_sapiens,human,Isolation,2,Tauro et al. 2009
Bwamba_virus,Homo_sapiens,human,Isolation,2,Bowen et al. 1973
Cacipacore_virus,Homo_sapiens,human,Isolation,2,"Batista et al. 2011, Rev Soc Bras Med Trop. 2011 Jul-Aug;44(4):528-30. ""Notification of the first isolation of Cacipacore virus in a human in the State of Rond_nia, Brazil."""
California_encephalitis_virus,Homo_sapiens,human,Isolation,2,Taylor et al. 1985
Camelpox_virus,Homo_sapiens,human,Antibodies,0,Bera et al. 2011
Canine_distemper_virus,Homo_sapiens,human,PCR,2,Mee et al. 1998
Caraparu_virus,Homo_sapiens,human,Isolation,2,de Brito Magalhaes et al. 2007
Catu_virus,Homo_sapiens,human,Isolation,2,"Zuckerman et al. 2009 ""Principles and practice of clinical virology."""
Cercopithecine_herpesvirus_1,Homo_sapiens,human,Isolation,2,Huff et al. 2003
Chagres_virus,Homo_sapiens,human,Isolation,2,Peralta et al. 1965
Chandipura_virus,Homo_sapiens,human,Isolation,2,Bhatt and Rodriguez 1967
Candiru_virus,Homo_sapiens,human,Isolation,2,da Rosa 1983
Changuinola_virus,Homo_sapiens,human,Isolation,2,da Rosa et al. 1984
Chikungunya_virus,Homo_sapiens,human,Isolation,2,Calisher et al. 1994; Bowen et al.
Colorado_tick_fever_virus,Homo_sapiens,human,PCR,2,Lambert et al. 2007
Corriparta_virus,Homo_sapiens,human,Antibodies,0,Doherty et al. 1970
Cote_d'Ivoire_ebolavirus,Homo_sapiens,human,Isolation,2,Formenty et al. 1999
Cowpox_virus,Homo_sapiens,human,Isolation,2,Davies et al. 1938
Crimean-Congo_hemorrhagic_fever_virus,Homo_sapiens,human,PCR,2,"Mourya DT, Yadav PD, Shete AM, Gurav YK, Raut CG, et al. (2012) Detection, Isolation and Confirmation of Crimean-Congo Hemorrhagic Fever Virus in Human, Ticks and Animals in Ahmadabad, India, 2010_2011. PLoS Negl Trop Dis 6(5): e1653. doi:10.1371/journal.pntd.0001653"
Dengue_virus,Homo_sapiens,human,Isolation,2,CDC Arbocat Report 1985
Dera_Ghazi_Khan_virus,Homo_sapiens,human,Antibodies,0,Darwish et al. 1983
Dhori_virus,Homo_sapiens,human,Antibodies,0,Darwish et al. 1983
Dobrava-Belgrade_virus,Homo_sapiens,human,Isolation,2,Gligic et al. 1992
Dugbe_virus,Homo_sapiens,human,Antibodies,0,Burt et al. 1996
Duvenhage_virus,Homo_sapiens,human,Isolation,2,"Paweska et al. 2006, EID"
Eastern_equine_encephalitis_virus,Homo_sapiens,human,Antibodies,0,Harvala et al. 2009
Encephalomyocarditis_virus,Homo_sapiens,human,PCR,2,Oberste et al. 2009
European_bat_lyssavirus_1,Homo_sapiens,human,PCR,2,"Fooks AR, Brookes SM, Johnson N, McElhinney LM, Hutson AM. European bat lyssa viruses: an emerging zoonosis. Epidemiol Infect. 2003;131(3):1029-39."
European_bat_lyssavirus_2,Homo_sapiens,human,PCR,2,"Fooks AR, Brookes SM, Johnson N, McElhinney LM, Hutson AM. European bat lyssa viruses: an emerging zoonosis. Epidemiol Infect. 2003;131(3):1029-39."
Everglades_virus,Homo_sapiens,human,Isolation,2,Calisher et al. 1980
Flexal_virus,Homo_sapiens,human,Antibodies,0,CDC ArboCat
Foot-and-mouth_disease_virus,Homo_sapiens,human,Isolation,2,Ghoneim et al. 2010
Gan_Gan_virus,Homo_sapiens,human,Antibodies,0,Vale et al. 1986
GB_virus_C,Homo_sapiens,human,PCR,2,Kao et al. 1999
Getah_virus,Homo_sapiens,human,Isolation,2,Attoui et al. 2007
Gibbon_ape_leukemia_virus,Homo_sapiens,human,Antibodies,0,"Aoki T, Walling MJ, Bushar GS, Liu M, Hsu KC. Natural antibodies in sera from healthy humans to antigens on surfaces of type C RNA viruses and cells from primates. Proc Natl Acad Sci U S A. 1976 Jul;73(7):2491-5. PubMed PMID: 181753; PubMed Central PMCID: PMC430620."
Great_Island_virus,Homo_sapiens,human,Isolation,2,Belhouchet et al. 2010
Guama_virus,Homo_sapiens,human,Isolation,2,"Zuckerman et al. 2009 ""Principles and practice of clinical virology."""
Guanarito_virus,Homo_sapiens,human,Isolation,2,"Taylor et al. (EID database); Abraham J, Kwong JA, Albari_o CG, Lu JG, Radoshitzky SR, et al. 2009 Host-Species Transferrin Receptor 1 Orthologs Are Cellular Receptors for Nonpathogenic New World Clade B Arenaviruses. PLoS Pathog 5(4: e1000358. doi:10.1371/journal.ppat.1000358"
Guaroa_virus,Homo_sapiens,human,Isolation,2,Groot et al. 1959
Hantaan_virus,Homo_sapiens,human,Antibodies,0,Grygorczuk et al. 2008
Hendra_virus,Homo_sapiens,human,Isolation,2,Tulsiani et al. 2011
Hepatitis_A_virus,Homo_sapiens,human,Isolation,2,Braga et al. 2009
Hepatitis_B_virus,Homo_sapiens,human,PCR,2,Ghosh et al. 2010
Hepatitis_C_virus,Homo_sapiens,human,PCR,2,Abreha et al. 2011
