vVirusNameCorrected,hHostNameFinal,WildDomInReference,DetectionMethod,DetectionQuality,Reference
Crimean-Congo_hemorrhagic_fever_virus,Antidorcas_marsupialis,wild,Antibodies,0,Shepherd et al. 1987
Foot-and-mouth_disease_virus,Antidorcas_marsupialis,wild,Antibodies,0,"Falconer and Child, 1975; From Weaver and Karesh In Press"
Lumpy_skin_disease_virus,Antidorcas_marsupialis,wild,Antibodies,0,Hedger et al. 1983
Rift_Valley_fever_virus,Antidorcas_marsupialis,wild,PCR,2,"Capobianco Dondona, A. 2016"
Bluetongue_virus,Antilocapra_americana,wild,Antibodies,0,"Dubay, Rosenstock et al. 2006"
Bovine_parainfluenza_virus_3,Antilocapra_americana,wild,Antibodies,0,Dunbar et al. 1999
Bovine_viral_diarrhea_virus_1,Antilocapra_americana,wild,SNT,1,Barrett and Chalmers 1975
Epizootic_hemorrhagic_disease_virus,Antilocapra_americana,wild,Antibodies,0,"Dubay, Rosenstock et al. 2006"
St._Louis_encephalitis_virus,Antilocapra_americana,wild,Antibodies,0,Williams et al. 2001
Vesicular_stomatitis_Indiana_virus,Antilocapra_americana,wild,SNT,1,Webb et al. 1987
Bluetongue_virus,Antilope_cervicapra,wild,Antibodies,0,Bhat et al. 1998
Epizootic_hemorrhagic_disease_virus,Antilope_cervicapra,wild,Antibodies,0,Williams et al. 2001
Foot-and-mouth_disease_virus,Antilope_cervicapra,wild,Isolation,2,Kar et al. 1983; Hegde et al. 2011; from Weaver and Karesh In Press
Rabies_virus,Antrozous_pallidus,wild,PCR,2,Blanton et al. 2008
Measles_virus,Aotus_azarae,wild,Antibodies,0,O'Brien et al. 1981
Encephalomyocarditis_virus,Aotus_trivirgatus,wild,Isolation,2,Roca-Garcia 1957
GB_virus_A,Aotus_trivirgatus,wild,PCR,2,Bukh & Apgar 1997
GB_virus_B,Aotus_trivirgatus,captive,Isolation,2,Bukh et al. 2001a
Hepatitis_A_virus,Aotus_trivirgatus,captive,Antibodies,0,Lemon et al. 1982
Hepatitis_A_virus,Aotus_trivirgatus,wild,Antibodies,0,Lemon et al. 1982
Measles_virus,Aotus_trivirgatus,wild,Isolation,2,Fowler & Miller. 2003
Torque_Teno_virus,Aotus_trivirgatus,wild,PCR,2,Catroxo et al. 2008
Vesicular_stomatitis_Indiana_virus,Aotus_trivirgatus,wild,plaque reduction neutralization,1,Tesh et al. 1969
Yellow_fever_virus,Aotus_trivirgatus,wild,Antibodies,0,Seymour et al. 1983
California_encephalitis_virus,Apodemus_agrarius,wild,Antibodies,0,Mitchell et al. 1993
Dobrava-Belgrade_virus,Apodemus_agrarius,wild,Isolation,2,Plyusnin 2002
Hantaan_virus,Apodemus_agrarius,wild,Isolation,2,"Acha & Szyfres 2003, Lee et al. 1978"
Lymphocytic_choriomeningitis_virus,Apodemus_agrarius,wild,Antibodies,0,Tagliapietra et al. 2009
Tick-borne_encephalitis_virus,Apodemus_agrarius,wild,Isolation,2,Golovljova et al. 2004
Apoi_virus,Apodemus_argenteus,wild,Isolation,2,Karabatsos 1995
Cowpox_virus,Apodemus_flavicollis,wild,Antibodies,0,Acha & Szyfres 2003; Essbauer & Meyer 2007; Essbauer et al. 2009
Dobrava-Belgrade_virus,Apodemus_flavicollis,wild,Isolation,2,Avsic-Zupanc et al. 1992
Ljungan_virus,Apodemus_flavicollis,wild,PCR,2,Hauffe et al. 2010
Lymphocytic_choriomeningitis_virus,Apodemus_flavicollis,wild,Antibodies,0,Tagliapietra et al. 2009
Murid_herpesvirus_1,Apodemus_flavicollis,wild,Isolation,2,Mistrikova & Blaskovis 1985
Murid_herpesvirus_2,Apodemus_flavicollis,wild,PCR,2,Ehlers et al. 2007
